ICAO,PHASE,RANGE,N_REFERENCE_GROUPS,N_VALID_REFERENCE_GROUPS
SBBR,ARR,C100,81,63
SBBR,ARR,C40,85,67
SBCF,ARR,C100,36,30
SBCF,ARR,C40,35,29
SBCT,ARR,C100,58,38
SBCT,ARR,C40,56,38
SBEG,ARR,C100,39,29
SBEG,ARR,C40,39,32
SBGL,ARR,C100,66,47
SBGL,ARR,C40,71,45
SBGR,ARR,C100,88,55
SBGR,ARR,C40,94,56
SBKP,ARR,C100,54,35
SBKP,ARR,C40,60,36
SBPA,ARR,C100,27,21
SBPA,ARR,C40,30,23
SBRF,ARR,C100,35,24
SBRF,ARR,C40,39,25
SBRJ,ARR,C100,39,20
SBRJ,ARR,C40,44,19
SBSP,ARR,C100,69,45
SBSP,ARR,C40,65,47
SBSV,ARR,C100,45,30
SBSV,ARR,C40,50,33
