YEAR,PAIR,EUR_APT,BRA_APT,PAIR_CLASS,FLTS,RANK
2023,LPPT-SBGR,LPPT,SBGR,Study-Study,1412,1
2023,LEMD-SBGR,LEMD,SBGR,Study-Study,1189,2
2023,LFPG-SBGR,LFPG,SBGR,Study-Study,1153,3
2023,EDDF-SBGR,EDDF,SBGR,Study-Study,836,4
2023,EGLL-SBGR,EGLL,SBGR,Study-Study,789,5
2023,LPPT-SBKP,LPPT,SBKP,Study-Study,668,6
2023,LIRF-SBGR,LIRF,SBGR,Study-Non-study,648,7
2023,LPPT-SBGL,LPPT,SBGL,Study-Study,577,8
2023,LTFM-SBGR,LTFM,SBGR,Study-Study,437,9
2023,LSZH-SBGR,LSZH,SBGR,Study-Study,399,10
2023,LPPT-SBRF,LPPT,SBRF,Study-Study,387,11
2023,LFPG-SBGL,LFPG,SBGL,Study-Study,375,12
2023,EHAM-SBGR,EHAM,SBGR,Study-Study,369,13
2023,LPPT-SBFZ,LPPT,SBFZ,Study-Non-study,366,14
2023,EHAM-SBGL,EHAM,SBGL,Study-Study,344,15
2023,LPPT-SBCF,LPPT,SBCF,Study-Study,336,16
2023,LPPT-SBSV,LPPT,SBSV,Study-Study,326,17
2023,LPPT-SBBR,LPPT,SBBR,Study-Study,308,18
2023,LPPT-SBSG,LPPT,SBSG,Study-Non-study,282,19
2023,EGLL-SBGL,EGLL,SBGL,Study-Study,278,20
2023,LFPO-SBKP,LFPO,SBKP,Study-Non-study,227,22
2023,LIMC-SBGR,LIMC,SBGR,Study-Non-study,216,24
2023,LIRF-SBGL,LIRF,SBGL,Study-Non-study,63,36
2024,LPPT-SBGR,LPPT,SBGR,Study-Study,1491,1
2024,LEMD-SBGR,LEMD,SBGR,Study-Study,1489,2
2024,LFPG-SBGR,LFPG,SBGR,Study-Study,1091,3
2024,LIRF-SBGR,LIRF,SBGR,Study-Non-study,946,4
2024,EDDF-SBGR,EDDF,SBGR,Study-Study,768,5
2024,EGLL-SBGR,EGLL,SBGR,Study-Study,763,6
2024,LPPT-SBGL,LPPT,SBGL,Study-Study,619,7
2024,LPPT-SBKP,LPPT,SBKP,Study-Study,610,8
2024,LTFM-SBGR,LTFM,SBGR,Study-Study,600,9
2024,LPPT-SBRF,LPPT,SBRF,Study-Study,549,10
2024,LPPT-SBFZ,LPPT,SBFZ,Study-Non-study,456,11
2024,LFPG-SBGL,LFPG,SBGL,Study-Study,384,12
2024,EGLL-SBGL,EGLL,SBGL,Study-Study,376,13
2024,LIRF-SBGL,LIRF,SBGL,Study-Non-study,374,14
2024,LSZH-SBGR,LSZH,SBGR,Study-Study,371,15
2024,LPPT-SBSV,LPPT,SBSV,Study-Study,365,16
2024,EHAM-SBGR,EHAM,SBGR,Study-Study,364,17
2024,LFPO-SBKP,LFPO,SBKP,Study-Non-study,354,18
2024,LPPT-SBCF,LPPT,SBCF,Study-Study,346,19
2024,EHAM-SBGL,EHAM,SBGL,Study-Study,336,20
2024,LPPT-SBSG,LPPT,SBSG,Study-Non-study,336,21
2024,LPPT-SBBR,LPPT,SBBR,Study-Study,331,22
2024,LIMC-SBGR,LIMC,SBGR,Study-Non-study,269,23
2025,LEMD-SBGR,LEMD,SBGR,Study-Study,1872,1
2025,LPPT-SBGR,LPPT,SBGR,Study-Study,1559,2
2025,LFPG-SBGR,LFPG,SBGR,Study-Study,1107,3
2025,LIRF-SBGR,LIRF,SBGR,Study-Non-study,1010,4
2025,EGLL-SBGR,EGLL,SBGR,Study-Study,793,5
2025,EDDF-SBGR,EDDF,SBGR,Study-Study,777,6
2025,LPPT-SBKP,LPPT,SBKP,Study-Study,658,7
2025,LPPT-SBGL,LPPT,SBGL,Study-Study,642,8
2025,LTFM-SBGR,LTFM,SBGR,Study-Study,602,9
2025,LPPT-SBRF,LPPT,SBRF,Study-Study,580,10
2025,LFPG-SBGL,LFPG,SBGL,Study-Study,452,11
2025,LPPT-SBFZ,LPPT,SBFZ,Study-Non-study,438,12
2025,EHAM-SBGR,EHAM,SBGR,Study-Study,385,13
2025,LIRF-SBGL,LIRF,SBGL,Study-Non-study,381,14
2025,EGLL-SBGL,EGLL,SBGL,Study-Study,380,15
2025,LSZH-SBGR,LSZH,SBGR,Study-Study,379,16
2025,EHAM-SBGL,EHAM,SBGL,Study-Study,362,17
2025,LPPT-SBSV,LPPT,SBSV,Study-Study,354,18
2025,LPPT-SBCF,LPPT,SBCF,Study-Study,352,19
2025,LIMC-SBGR,LIMC,SBGR,Study-Non-study,345,20
2025,LPPT-SBSG,LPPT,SBSG,Study-Non-study,331,21
2025,LPPT-SBBR,LPPT,SBBR,Study-Study,326,22
2025,LFPO-SBKP,LFPO,SBKP,Study-Non-study,296,23
