YEAR,ICAO,TOT_MOV_YEAR
2023,SBBR,148776
2023,SBCF,98958
2023,SBCT,60566
2023,SBEG,40557
2023,SBGL,63378
2023,SBGR,276809
2023,SBKP,126113
2023,SBPA,72940
2023,SBRF,87363
2023,SBRJ,123234
2023,SBSP,232374
2023,SBSV,77657
2024,SBBR,147957
2024,SBCF,114177
2024,SBCT,60809
2024,SBEG,45602
2024,SBGL,109606
2024,SBGR,289944
2024,SBKP,122286
2024,SBPA,32383
2024,SBRF,92839
2024,SBRJ,73687
2024,SBSP,234689
2024,SBSV,80053
2025,SBBR,157135
2025,SBCF,118272
2025,SBCT,62413
2025,SBEG,46713
2025,SBGL,129551
2025,SBGR,306225
2025,SBKP,124788
2025,SBPA,67365
2025,SBRF,84865
2025,SBRJ,74296
2025,SBSP,214916
2025,SBSV,83064
