"","ICAO","YEAR","TOTALMVT"
"1","SBGR","2025",306225
"2","SBGR","2024",289944
"3","SBGR","2023",276809
"4","SBSP","2024",234689
"5","SBSP","2023",232374
"6","SBSP","2025",214916
"7","SBBR","2025",157135
"8","SBBR","2023",148776
"9","SBBR","2024",147957
"10","SBGL","2025",129551
"11","SBKP","2023",126113
"12","SBKP","2025",124788
"13","SBRJ","2023",123234
"14","SBKP","2024",122286
"15","SBCF","2025",118272
"16","SBCF","2024",114177
"17","SBGL","2024",109606
"18","SBCF","2023",98958
"19","SBSV","2025",83064
"20","SBSV","2024",80053
"21","SBSV","2023",77657
"22","SBRJ","2025",74296
"23","SBRJ","2024",73687
"24","SBPA","2023",72940
"25","SBPA","2025",67365
"26","SBGL","2023",63378
"27","SBCT","2025",62413
"28","SBCT","2024",60809
"29","SBCT","2023",60566
"30","SBPA","2024",32383
